feature,gain,split
LogTotalSF_x_NbhdPrem_v2,1487.4761241578497,535.4
int_OQual_x_TotalSF,1111.2688773323084,567.6
Qual_x_NbhdPrem_v2,309.8507640981814,570.2
int_OQual_x_GrLiv,148.43475985219703,427.2
fe_OverallGrade,80.55044629957993,272.8
fe_TotalSF,77.22502195781563,333.4
LotArea,38.70016918564215,729.6
Nbhd_TgtMean_Log_v2,38.19352932686452,396.6
CentralAir,35.51722782766446,54.4
fe_YearsSinceRemod,35.508516330993736,339.2
fe_TotalBaths,34.81048281653784,185.4
OverallCond,33.59961182249244,282.8
BsmtFinSF1,30.03907784615876,385.6
BsmtUnfSF,28.491037449752913,542.8
int_GarCars_x_GarArea,27.055587643571197,245.0
YearRemodAdd,24.70431888285093,326.2
GrLivArea,21.63943552027922,379.2
GarageArea,20.977211096684915,394.6
1stFlrSF,20.011497564124873,406.8
KitchenQual,19.559013736853377,71.6
fe_BasementGrade,18.158698369096964,162.4
GarageYrBlt,17.01680158583913,269.2
TotalSF_relative_v2,16.47744569783099,430.8
fe_GarageCarsPer100SF,16.469018730078822,458.8
fe_AgeAtSale,15.686527074291371,279.0
fe_TotalPorchSF,15.305057888687589,415.4
int_TotalBaths_x_Beds,14.752090572519228,209.2
YearBuilt,14.592258847714401,265.2
FireplaceQu,11.979514739941806,103.2
BsmtFinType1,11.33853066691663,144.4
LotFrontage,11.09554772253614,342.6
TotalBsmtSF,11.075038654037053,315.2
fe_GarageGrade,10.683615060383454,27.4
fe_NbhdMed_YearBuilt,10.491579498606734,147.8
fe_AboveVsBasement,10.10485907025868,373.4
fe_NbhdMed_LotArea,9.692236201674678,154.6
LotArea_log1p_v2,8.612164603662677,142.2
WoodDeckSF,8.470984772476367,250.2
fe_FirstVsSecond,7.55250985667808,239.6
OpenPorchSF,7.501853594905697,211.4
fe_GarageAgeAtSale,7.497775419568643,271.4
Fireplaces,7.489844078850001,75.4
GarageQual,7.479979664459824,16.4
MoSold_cos,6.674537632567808,202.8
BsmtQual,6.6550777479540555,37.2
Functional,6.0160425247158855,82.6
fe_NbhdMed_fe_TotalSF,6.007158454018645,92.2
BsmtFinSF1_log1p_v2,5.9391043337294835,85.4
TotalSF,5.843904467020184,71.8
HeatingQC,5.793852609093301,87.4
Neighborhood,5.754202326806262,183.6
2ndFlrSF,5.620163154881448,119.4
GrLivArea_log1p_v2,5.069430600141641,87.0
GarageFinish,5.06448215325363,79.2
BsmtExposure,5.021905400115065,82.2
OverallQual,4.778619825397618,17.4
MasVnrArea,4.655398917046841,205.2
fe_NbhdMed_GrLivArea,4.637929438613355,114.0
GarageCars,4.588704933738336,13.8
MoSold_sin,4.513999100867659,157.0
fe_KitchenGrade,4.420193263376132,14.6
OverallQual_relative_v2,4.236689374223351,131.2
PavedDrive,3.7111116821412,30.4
fe_ExteriorGrade,3.420002343133092,47.8
MoSold,3.3550050269579517,157.8
TotRmsAbvGrd,3.1666651087114586,81.8
GarageCond,3.0241664400324226,13.4
KitchenAbvGr,2.9801090970635413,19.6
BsmtFullBath,2.318920804047957,24.2
MSSubClass,2.1172937175258992,45.6
ExterQual,2.059502102155238,10.0
bin_NearArtery,2.0579021011479197,54.2
Exterior1st,1.9908692011842504,82.6
LotShape,1.961617832048796,49.4
SaleCondition,1.861745450552553,49.2
HalfBath,1.7638966234400868,20.4
EnclosedPorch,1.6274876587092877,63.2
BedroomAbvGr,1.6025947562418879,63.2
FullBath,1.393378515727818,19.6
ExterCond,1.2404716280288994,33.2
MasVnrType,1.2108652989380062,31.6
TotalSF_log1p_v2,1.1117273408686743,16.0
is_luxury_v2,0.9390572415664792,4.6
Electrical,0.8866377115715295,27.8
ScreenPorch,0.7908022243063897,18.8
BsmtCond,0.7329597333446145,27.2
YrSold,0.6187074329238385,37.6
LotConfig,0.6165581960696727,24.6
Nbhd_Qual_cat_v2,0.5480067429598421,24.4
YearBuiltDecade_v2,0.5412584678735584,8.0
Nbhd_Decade_cat_v2,0.4748027500230819,30.0
GarageType,0.4600695832632482,4.4
BsmtFinSF2,0.42342534305062146,19.8
bin_HasPorch,0.4170414237305522,7.4
LandSlope,0.40166960353963077,12.2
comb_ExteriorSet,0.39728691028431057,17.2
bin_HasFireplace,0.3579135023057461,3.0
bin_HasDeck,0.2918290787842125,6.6
MSZoning,0.24973654169589282,2.8
Exterior2nd,0.21567508834414184,16.2
bin_NearRR,0.18938547195866703,12.0
BsmtFinType2,0.180151563603431,9.8
Foundation,0.17011588551104068,3.2
is_luxury_nbhd_v2,0.12832834161818027,1.8
Alley,0.09568749191239476,4.4
HouseStyle,0.08602889073081314,4.0
Condition1,0.0685202682390809,2.4
MiscVal,0.06100657554343343,3.6
RoofStyle,0.05942983152344823,3.0
MiscFeature,0.05564043177291751,2.4
NbhdCluster4_v2,0.040973426029086116,2.4
Heating,0.03843254828825593,1.8
BsmtHalfBath,0.036832706071436405,2.4
comb_Season,0.023930749204009772,1.2
RoofMatl,0.015583840012550355,0.4
Fence,0.014138120412826537,0.6
bin_Has2ndFlr,0.006002179905772209,0.2
PoolArea,0.0,0.0
SaleType,0.0,0.0
3SsnPorch,0.0,0.0
BldgType,0.0,0.0
PoolQC,0.0,0.0
Utilities,0.0,0.0
LowQualFinSF,0.0,0.0
LandContour,0.0,0.0
Condition2,0.0,0.0
bin_HasBasement,0.0,0.0
bin_HasGarage,0.0,0.0
bin_HasPool,0.0,0.0
bin_NearPositive,0.0,0.0
Street,0.0,0.0
