feature,gain
int_OQual_x_TotalSF,1.5503320217132568
LogTotalSF_x_NbhdPrem_v2,1.1693522214889527
CentralAir,0.4082513898611069
Qual_x_NbhdPrem_v2,0.22863755226135254
fe_GarageGrade,0.2166389063000679
KitchenAbvGr,0.17918344289064408
bin_Has2ndFlr,0.13151496648788452
GarageQual,0.11342786476016045
fe_NbhdMed_fe_TotalSF,0.10862625800073147
GarageCars,0.09633540399372578
fe_OverallGrade,0.07739672511816025
fe_KitchenGrade,0.06550763845443726
int_OQual_x_GrLiv,0.0652591310441494
KitchenQual,0.057746869325637815
MSZoning,0.047866791114211084
fe_TotalBaths,0.047390444576740264
PavedDrive,0.03504286464303732
fe_NbhdMed_LotArea,0.03136713020503521
OverallCond,0.031353377550840375
TotalSF,0.026696213334798814
BsmtQual,0.02611421551555395
Nbhd_TgtMean_Log_v2,0.02568424940109253
fe_NbhdMed_YearBuilt,0.025617430731654168
fe_YearsSinceRemod,0.02364235445857048
Functional,0.022067050449550152
int_GarCars_x_GarArea,0.02139020562171936
fe_NbhdMed_GrLivArea,0.020929953083395958
GarageCond,0.02089594201024738
fe_BasementGrade,0.02037996854633093
GarageFinish,0.01967675294727087
Fireplaces,0.01925058588385582
GrLivArea_log1p_v2,0.01858048439025879
is_luxury_v2,0.018473251583054663
fe_TotalSF,0.017795691452920436
HalfBath,0.01772219706326723
GarageYrBlt,0.016848903708159925
SaleCondition,0.01667472589761019
YearRemodAdd,0.01657745856791735
BsmtFinType1,0.016154068242758512
Neighborhood,0.016097748745232822
FireplaceQu,0.0146441500633955
LandSlope,0.01459178258664906
BsmtFinSF1_log1p_v2,0.014116430561989546
int_TotalBaths_x_Beds,0.013595265056937932
BsmtFinSF1,0.013496020436286926
Nbhd_Qual_cat_v2,0.0134039961732924
BsmtFullBath,0.013133375719189645
OverallQual,0.013127070851624012
GarageArea,0.013047446869313717
YearBuilt,0.012995455227792264
BsmtUnfSF,0.012945752125233412
LotArea_log1p_v2,0.012528042867779731
ExterCond,0.012380302418023348
fe_AgeAtSale,0.01226291647180915
GrLivArea,0.011886063404381276
TotalSF_log1p_v2,0.011845215922221541
GarageType,0.011643556039780378
Nbhd_Decade_cat_v2,0.011583489552140235
fe_ExteriorGrade,0.011453602649271487
HeatingQC,0.01109328232705593
MSSubClass,0.01099552484229207
ExterQual,0.010927909426391125
LotArea,0.010906194522976875
YearBuiltDecade_v2,0.010407022639992648
1stFlrSF,0.010093535389751196
RoofStyle,0.00985078332014382
BsmtCond,0.009681486152112484
2ndFlrSF,0.009644488431513309
HouseStyle,0.009624964743852615
BedroomAbvGr,0.00901033254340291
TotalBsmtSF,0.009000046458095313
BsmtExposure,0.00875480668619275
Electrical,0.008313776087015867
BldgType,0.008045552577823401
SaleType,0.007863526698201895
bin_HasFireplace,0.007668446283787489
TotalSF_relative_v2,0.007612200360745192
Foundation,0.007589416671544313
Heating,0.007406897316741379
LandContour,0.006992673128843307
bin_NearArtery,0.006896279205102473
TotRmsAbvGrd,0.006879170052707195
comb_Season,0.00686200587078929
Condition1,0.006847003567963838
OverallQual_relative_v2,0.006815547961741686
BsmtHalfBath,0.0067749376758001745
fe_TotalPorchSF,0.006769489776343107
NbhdCluster4_v2,0.006576563278213143
PoolQC,0.00652269134297967
WoodDeckSF,0.006465808907523751
fe_GarageAgeAtSale,0.006439667521044612
FullBath,0.006149704568088055
ScreenPorch,0.0060664219316095115
PoolArea,0.0060523860932638245
Exterior1st,0.005975512601435184
EnclosedPorch,0.005824338505044579
fe_GarageCarsPer100SF,0.005783715890720487
RoofMatl,0.005754614993929863
OpenPorchSF,0.005664915032684803
LotShape,0.005378586705774069
Fence,0.0053508361801505085
Alley,0.005314218869898468
MoSold_cos,0.00517537253908813
LotFrontage,0.005066594108939171
Exterior2nd,0.005005455203354358
bin_HasPorch,0.004636463662609458
fe_FirstVsSecond,0.00453334366902709
BsmtFinType2,0.004476370755583048
LotConfig,0.004341390356421471
MoSold_sin,0.004304682835936546
fe_AboveVsBasement,0.004136014310643077
MasVnrType,0.004014631640166045
YrSold,0.004004470584914088
comb_ExteriorSet,0.003507113014347851
bin_HasDeck,0.0034091224428266288
BsmtFinSF2,0.0033069871366024016
MasVnrArea,0.003086394933052361
MoSold,0.0030744721880182624
is_luxury_nbhd_v2,0.002937965114445736
bin_NearRR,0.0023496181122027336
MiscVal,0.001984179310966283
Condition2,0.0014877295567809294
MiscFeature,0.0014636698542744853
3SsnPorch,0.001288039387873141
LowQualFinSF,0.00043726070362026803
bin_NearPositive,2.3989541659830138e-05
